Date,AAPL,AMZN,BAC,CVX,DIS,GE,HD,IBM,INTC,JNJ,JPM,KO,MCD,MRK,MSFT,ORCL,PFE,PG,WMT,XOM
2014-05-30,19.881175994873047,15.6274995803833,11.996086120605469,76.07408142089844,76.04798126220703,106.96968841552734,61.41253662109375,110.82219696044922,20.686559677124023,74.18861389160156,40.91865158081055,28.493839263916016,75.98924255371094,38.686092376708984,34.52798843383789,35.47311782836914,17.675676345825195,58.9102783203125,20.542787551879883,62.3814582824707
2014-06-02,19.744544982910156,15.442000389099121,12.091166496276855,75.7147445678711,76.2833480834961,107.12937927246094,61.879478454589844,111.6216812133789,20.641122817993164,74.707763671875,40.756649017333984,28.459022521972656,76.43879699707031,38.7328987121582,34.40147399902344,35.43090057373047,17.723407745361328,58.596717834472656,20.540111541748047,62.01535415649414
2014-06-03,20.023754119873047,15.35949993133545,12.05155086517334,75.92540740966797,75.93031311035156,106.96968841552734,62.110435485839844,110.82820129394531,20.94400405883789,74.91981506347656,40.940731048583984,28.472946166992188,76.00424194335938,38.71952438354492,33.97978210449219,35.29582595825195,17.65182876586914,58.28318786621094,20.526735305786133,62.29459762573242
2014-06-04,20.25240707397461,15.33899974822998,12.05155086517334,75.80149841308594,76.25618743896484,106.0113525390625,62.0103759765625,110.91236114501953,20.898574829101562,75.08069610595703,40.99964904785156,28.410263061523438,76.74594116210938,38.7328987121582,34.005088806152344,35.20297622680664,17.681642532348633,58.232147216796875,20.63912010192871,62.077415466308594
2014-06-05,20.331871032714844,16.178499221801758,12.225868225097656,76.52637481689453,76.74500274658203,106.88980102539062,61.88716125488281,111.79601287841797,20.94400405883789,75.47554016113281,41.69917678833008,28.479909896850586,76.75341033935547,38.84657287597656,34.75570297241211,35.540653228759766,17.753232955932617,58.41443634033203,20.689960479736328,62.39387130737305
2014-06-06,20.275959014892578,16.48349952697754,12.352643013000488,76.94145965576172,76.59113311767578,108.52691650390625,62.087364196777344,112.03041076660156,21.33017349243164,75.44628143310547,41.94953918457031,28.5495662689209,76.38631439208984,38.67940139770508,34.98341369628906,35.98807907104492,17.550405502319336,58.35608673095703,20.660531997680664,63.04542922973633
2014-06-09,20.60041046142578,16.375,12.550725936889648,77.05299377441406,77.37869262695312,109.56505584716797,62.06425857543945,111.94026184082031,21.133302688598633,75.47554016113281,42.2808837890625,28.493839263916016,75.95178985595703,38.739585876464844,34.806297302246094,36.04716110229492,17.508647918701172,58.39986038208008,20.607011795043945,62.995792388916016
2014-06-10,20.72133445739746,16.620500564575195,12.614115715026855,77.65394592285156,76.71785736083984,109.44528198242188,62.16436767578125,110.78009796142578,21.3831729888916,76.1190185546875,42.63433074951172,28.60529136657715,75.57720184326172,39.10732650756836,34.67136001586914,36.01340103149414,17.598127365112305,58.443607330322266,20.502655029296875,62.95854187011719
2014-06-11,20.63558578491211,16.760000228881836,12.352643013000488,77.55482482910156,76.3195571899414,108.4071273803711,61.448299407958984,109.55384063720703,21.14845085144043,75.54867553710938,42.17041778564453,28.459022521972656,75.23259735107422,39.321285247802734,34.46051025390625,35.928985595703125,17.55636978149414,58.37797546386719,20.37956428527832,63.26262664794922
2014-06-12,20.290420532226562,16.295499801635742,12.217944145202637,78.1310043334961,74.95266723632812,107.64847564697266,60.38578796386719,108.9346694946289,21.171161651611328,74.97100830078125,42.00107192993164,28.364274978637695,74.7381362915039,39.274131774902344,34.2243537902832,35.456233978271484,17.568302154541016,58.15922546386719,20.264497756958008,63.08264923095703
